word,1,2,3,4,5,6,7,8
number,-0.014771,1.480242,-0.001749,0.076159,1.571091,0.745555,1.133381,-0.760314
function,0.092983,0.869979,0.777982,-0.934789,1.067794,1.84706,0.679286,-2.312829
one,-0.14396,1.937395,-0.644644,0.354974,1.699476,-0.376275,0.228841,-0.709575
set,-0.43087,1.596836,-0.355938,0.472469,1.094942,0.345982,0.447042,-1.022814
group,0.1396,0.638081,-1.146135,0.429422,1.486518,0.250595,0.507243,-1.063449
space,-0.18265,1.313184,-0.385024,-0.228702,0.204618,0.658082,1.016854,-2.034049
two,0.171379,2.051604,-0.596614,0.414004,1.439971,-0.397148,0.867234,-0.369267
theory,-0.167706,0.86043,-0.244211,-0.954439,0.205656,2.516779,-1.132205,-2.134874
point,0.110206,1.676865,0.222801,0.668998,1.177215,0.147307,1.319691,-0.458172
theorem,-0.581064,0.765074,1.721966,-1.053739,-1.238851,2.492926,-0.718344,-1.012347
example,-0.396556,1.497519,-0.111079,-0.897728,1.163196,0.618126,0.274087,-1.907875
form,0.126149,1.658509,-0.565781,-0.993271,1.181509,-0.055129,0.394883,-1.184579
define,-0.225842,0.88316,0.408059,-1.230117,1.174384,1.639274,0.407412,-2.038135
graph,-0.774536,0.448475,1.278977,-1.142536,-0.88814,1.724725,0.59277,-1.812799
value,-0.164503,0.763853,0.673052,-0.560828,1.657047,1.311428,0.517133,-2.171282
problem,0.253823,1.019696,0.556443,0.025325,1.169788,1.11065,-0.341375,-2.048441
mathematic,0.386171,-0.397615,-1.050441,-1.092559,-0.257088,2.425916,-0.463587,-1.322855
order,0.38139,1.338334,0.142843,-0.145429,2.06461,0.485857,-0.062847,-0.167811
equation,-0.396744,0.990892,1.477613,-1.082809,-0.882166,2.59824,0.258008,-1.664399
first,0.230127,1.565155,-1.396884,0.773848,1.519318,-0.086809,0.306383,-0.025423
vector,-0.860513,0.772882,1.275776,-1.195604,-0.166862,2.021,1.505983,-2.115262
algebra,-0.601655,0.439503,0.964612,-1.433762,-1.101681,2.742084,0.284321,-1.41187
$\mathbb{N}$,-1.021471,0.954856,0.026665,0.158017,-0.321285,0.909721,1.749314,-0.490712
field,1.123706,1.127684,-0.727836,0.430914,0.531537,0.630077,0.691932,-1.028412
element,-0.844592,1.581591,-0.025915,-1.081917,0.835614,0.516105,0.405425,-1.969204
system,0.868376,0.361876,-0.547684,-0.297267,1.614617,0.71401,1.367235,-2.559465
matrix,-0.903524,1.056161,1.108398,-0.630866,-0.575162,2.036459,0.911326,-1.986145
mathematical,-0.184551,-0.180985,-0.743516,-1.246314,-0.353984,2.63528,-0.514875,-1.883057
method,0.269274,0.757387,0.313928,-0.835962,0.553555,1.326509,-0.005809,-2.751236
finite,-1.129645,1.066336,1.564274,-1.440813,-0.282053,2.668736,0.780049,-1.830895
result,0.543239,1.181576,0.25224,0.54069,1.938936,0.413872,0.464874,-1.13801
vertex,-1.235903,1.109527,1.92314,-1.65459,-0.673867,0.789272,1.538051,-0.95045
term,0.354088,1.025019,-0.193637,-0.386169,1.797436,0.873084,-0.505481,-1.51241
line,0.534917,1.593802,-0.529771,-0.138335,1.080578,-0.702713,1.673059,-0.418015
model,0.007994,0.604167,-0.503393,0.114314,0.447472,0.904609,1.03768,-1.880264
real,-0.733751,0.936265,-0.564184,0.961796,1.050475,0.291752,-0.142745,-1.253314
property,1.41591,1.22766,0.125403,-0.912223,1.071403,0.73411,0.211489,-1.109854
geometry,-0.412601,0.70795,0.215617,-1.689118,-1.085267,1.776443,0.454008,-1.744341
complex,0.333137,0.931799,-0.454164,-1.234979,0.671111,0.162004,0.754785,-1.682471
linear,-0.740642,1.105619,0.898103,-1.145071,0.095981,1.83706,2.179545,-1.82213
polynomial,-1.22425,1.048747,2.229939,-1.048461,-0.751722,2.702188,0.137326,-1.314578
algorithm,-0.365643,-0.175946,1.194149,-0.302588,-0.436877,1.758935,0.317134,-2.576331
mathematician,-0.218412,-0.653448,-0.997521,-0.457748,-0.802695,2.127156,-1.612906,1.000507
definition,-0.415087,0.531376,0.290221,-0.884472,1.067787,1.995132,0.181008,-2.223783
product,0.591722,0.279647,-0.485057,-0.030141,0.745426,0.251078,1.159537,-2.825516
state,1.363034,0.829516,-0.865522,0.700317,2.131177,0.697525,-0.138522,-0.281584
sequence,-1.196974,1.507912,0.576173,-0.404514,-0.02456,1.05685,0.754952,-2.045108
distribution,0.344096,0.756089,-0.237959,-1.135706,0.536982,0.68816,1.281751,-1.79674
variable,-0.725719,1.086981,1.144178,-1.084537,0.259788,1.50495,1.378117,-2.33714
solution,0.486189,0.355741,0.470257,-0.499466,0.764756,1.151468,0.468512,-2.680088
square,0.297973,1.274617,-0.205478,-0.503152,0.415696,-0.181792,1.955182,0.312625
map,0.484486,0.959556,-0.649818,-1.422242,0.340245,0.797879,1.146999,-0.71834
class,0.700173,0.694304,-0.592795,0.296404,1.142612,0.509346,1.00801,-0.475239
integer,-1.585873,0.924528,1.845062,-1.016778,0.008339,2.41008,1.300971,-1.31535
mean,-0.59449,1.658961,0.266348,-0.655207,1.660943,-0.229244,0.103521,-1.255277
proof,-0.428798,0.83784,1.15945,-0.245396,0.335214,1.497641,-0.494233,-1.396714
three,0.174775,1.89329,-0.711097,0.548526,1.358719,-0.521152,0.805755,-0.152906
dimensional,-1.205694,1.515468,0.79676,-1.406845,-0.880517,1.651723,0.914255,-2.351225
zero,-1.091816,1.065875,1.027848,0.492619,0.483269,0.967005,1.189034,-1.473223
algebraic,-0.890354,0.342107,0.657323,-1.743768,-1.033513,2.665949,-0.127665,-1.731793
formula,-0.861106,0.259987,0.434702,0.204974,0.102126,1.299596,0.960047,-1.122478
ring,-0.80263,1.655889,0.380846,0.192548,-0.189451,-0.449502,0.781545,-0.803398
edge,0.048259,1.893588,0.102928,-0.323659,-0.269909,-1.036871,1.29921,-1.156721
sum,-0.608617,0.75447,1.361687,-0.055589,0.786342,1.247502,0.363534,-0.858386
plane,-0.128663,1.483133,1.089946,-0.060145,0.400026,0.135225,1.235586,-0.674148
analysis,0.363161,0.55232,-0.534127,-0.643959,0.544064,2.136915,-0.14008,-2.521485
dimension,-1.010002,1.371445,0.516604,-0.802471,0.00813,1.144083,0.796098,-1.686416
curve,0.282761,1.508053,1.177979,-1.057641,-0.692173,0.403691,1.484169,-1.184294
type,0.164159,1.515849,-0.064244,-0.996363,0.803892,0.361518,1.618199,-1.762221
operator,0.434122,-0.034403,0.524777,0.191078,0.546776,0.963767,1.088003,-1.411579
prove,0.044366,1.302256,1.021133,0.278163,1.042118,0.551816,-0.795359,-0.889402
probability,-0.633245,0.625297,1.531322,-0.543827,0.333166,2.586646,0.21172,-1.832491
structure,1.010558,1.235481,-0.813311,-2.043383,0.904417,0.228009,0.876941,-1.436092
representation,-0.266625,0.320577,0.029853,-1.078676,0.978046,1.638059,-0.313774,-1.439541
series,-0.98203,1.38157,-1.396229,1.689244,0.334873,-0.171155,0.75805,-0.888122
prime,-0.311314,-0.049296,-0.067512,0.981806,1.788485,0.936066,-0.501533,0.385054
measure,0.771772,1.318828,0.990654,-0.79041,1.448983,1.09957,1.002009,-1.861887
equal,-0.141552,1.019915,1.093266,-0.140259,1.462683,1.197574,0.580273,-0.981431
lie,0.351216,1.91159,-0.088896,-0.697467,0.967529,-0.538424,0.245839,0.104161
manifold,-0.209708,0.805696,1.702323,-1.436536,-1.593066,1.770891,0.668591,-1.566947
degree,1.058906,0.083137,-0.970379,-0.590539,0.97828,1.160601,0.236237,-0.926046
differential,0.127548,0.48858,1.136942,-0.806992,-0.551065,2.036715,0.81913,-2.155709
$\mathbb{C}$,0.091598,0.85149,-0.26375,0.56655,-0.051905,1.096428,2.025255,0.130727
regular,0.229163,0.895178,-0.31211,1.129896,0.857834,0.054899,1.015493,-0.633024
second,-0.12205,1.576281,-0.592199,1.1343,1.486425,-0.043969,0.840737,0.438489
triangle,-0.370981,0.619287,0.562397,-0.648162,-0.762049,-0.061856,0.970043,-0.566451
subset,-1.216657,0.526079,1.402217,-1.41569,0.442874,1.766449,1.223012,-1.842682
circle,-0.317075,1.205103,-0.448874,-0.612424,0.075435,-0.228331,0.105979,-0.607959
relation,0.194329,0.198442,-0.534863,-0.721052,2.118688,1.529163,-0.956071,-0.836727
positive,-0.75664,1.178638,0.454305,0.663208,1.025723,1.093132,-0.262861,-2.133734
simple,-0.852412,1.904923,0.296757,-0.779271,0.397327,0.217366,0.376339,-2.432575
topology,-0.529421,0.295007,1.073265,-1.428609,-1.089721,2.059107,0.452282,-1.782259
category,-0.284519,0.147246,-0.92365,0.095892,1.01969,0.685983,0.837436,-1.443361
surface,0.451091,2.099646,0.88278,-1.189389,0.11483,-0.270673,1.770135,-2.103469
constant,-0.491486,1.660055,1.355976,-0.489505,0.463326,1.371262,0.252662,-1.287282
application,0.658341,-0.045464,-0.341105,-0.134312,1.006544,1.43329,1.159702,-3.221015
integral,-0.404409,0.323559,0.42027,-1.183949,0.027967,1.46192,0.547907,-1.522247
coordinate,0.395944,-0.016777,0.34954,-0.828383,0.884119,1.353691,0.769338,-1.330577
complete,0.668187,1.237939,-1.021246,-0.155869,1.078345,0.533581,0.699301,-0.04544
root,-0.468861,1.413712,-0.237024,-0.78193,0.2912,-0.050606,-0.155812,-1.288652
length,-0.487075,2.192241,0.400272,-0.377611,0.508395,-0.18159,2.178117,-0.937887
continuous,0.238377,1.111948,0.844574,-1.053944,0.752914,0.667786,1.121475,-1.873963
logic,-0.807137,0.048038,0.114832,-0.602233,-0.417061,2.278213,-0.441567,-2.221655
external,0.165688,0.602276,-2.544683,0.435058,0.609761,0.398355,0.938543,0.0184
side,0.183737,1.974266,-0.199374,0.22328,1.071929,-1.431659,0.996528,-0.215499
unit,1.021504,0.515249,0.112341,-0.027214,1.824622,0.489599,2.138849,-0.671005
equivalent,-0.373748,0.576959,0.538383,-0.852529,1.277709,1.244813,1.266463,-1.05009
conjecture,-0.634111,0.201433,1.626328,-0.860549,-1.439055,1.887329,-0.921583,-0.743027
infinite,-1.845196,1.219922,1.0092,-0.48883,-0.209611,1.243132,0.206001,-1.577689
operation,1.248844,0.353674,0.002973,0.386751,1.933787,0.086032,0.954295,-0.867811
angle,-0.415962,2.085586,1.476651,-0.476371,-0.156179,-0.043153,1.533522,-1.439409
random,-0.765433,1.126783,0.672067,0.141913,-0.226341,1.163851,0.268583,-1.918879
basis,0.470078,0.847575,0.014017,-0.427509,1.664212,1.158206,0.432598,-1.238416
natural,0.757791,1.29746,-0.930011,-1.417721,0.714115,0.119275,0.199103,-1.47604
power,0.261126,1.182317,0.090735,0.461672,1.890286,0.004856,0.537529,-1.028859
area,2.003086,1.161821,-0.995742,-1.060191,1.95304,-1.234108,1.281167,-0.308905
open,0.729192,1.00757,-1.439616,0.460578,1.145338,-0.71832,0.908193,-0.637391
solve,-0.400117,0.657152,0.960928,-0.054621,0.492391,1.254275,-0.528742,-1.99693
pair,-0.782536,1.922336,0.442505,0.480504,0.223698,-0.370456,1.09522,-0.894634
hold,0.617887,0.961058,-0.973865,0.593002,1.944274,-0.172357,-0.026102,0.122992
limit,1.014941,0.610897,0.054588,0.08164,1.439809,0.395743,0.903707,-1.659401
special,0.043284,0.843837,-1.107223,1.049987,1.150794,0.1302,0.341981,-1.11468
generate,0.032047,1.052105,0.736792,-0.310569,1.027491,0.755961,1.230956,-2.76757
coefficient,-0.62841,0.655102,2.086093,-0.82366,-0.052198,2.106193,1.0586,-1.520705
standard,0.208885,0.462125,-0.520068,-0.105268,1.368236,0.719938,1.447145,-2.073832
identity,-0.661078,0.78767,-0.087135,-0.242652,1.36982,0.807601,-1.210299,-1.410145
four,0.225432,1.815728,-0.736933,0.577057,1.202379,-0.418721,1.075826,-0.143009
rule,0.111677,0.855018,0.30826,-9.5e-05,2.514752,0.794917,-0.547496,-0.026716
topological,-0.942736,0.71938,1.463975,-1.775829,-1.051703,2.23758,0.386561,-1.809607
computer,-0.003816,-0.450026,-1.258034,0.765685,0.380141,1.071374,0.554154,-2.795221
derivative,-0.42904,0.325604,0.960857,-0.980342,0.053483,1.381409,0.931477,-1.888766
symmetry,-1.07272,0.8558,1.471626,-1.534255,-0.858476,1.442461,0.778019,-1.431168
compact,-0.515447,0.586836,0.52969,-0.601815,-0.217836,0.68586,1.573464,-1.773649
factor,0.449454,0.91253,0.825997,-0.258989,1.218956,1.363775,0.311603,-2.424087
family,0.603987,1.669977,-0.787171,-0.006978,1.182517,-0.203737,-0.381336,0.676766
transform,-0.340055,0.921021,0.217605,-0.798122,0.424206,0.256447,-0.094004,-1.418334
convex,-0.87152,1.315509,2.034938,-1.980228,-1.100995,0.684476,1.028729,-1.359798
domain,-0.224982,0.283915,0.359842,-1.181593,0.923075,1.353495,0.588435,-1.396119
subgroup,-1.103048,-0.261862,1.037271,-2.141579,-0.118531,1.001843,0.89446,-0.518003
construct,1.123179,1.51518,-0.326496,-1.398765,0.64575,-0.144223,0.701701,-0.569422
axiom,-1.013284,-0.087014,1.838166,-0.802193,-0.344478,2.234357,-0.236139,-1.05626
construction,1.385786,0.915578,-0.552743,-0.934465,1.236241,-0.094188,0.888604,-0.377457
therefore,-0.017229,1.423216,1.08324,-0.797646,2.036949,0.484025,-0.157447,-1.46248
compute,-0.336481,-0.293658,0.094435,-0.315454,-0.053482,1.922891,1.051975,-2.775143
normal,0.287387,1.17119,0.640601,-0.374976,0.717441,0.25719,0.724455,-1.697697
distance,-0.004593,1.054814,0.238764,-0.208554,0.949372,0.053376,1.530151,-0.729365
notation,-1.464863,0.409574,0.584606,-1.313776,-0.409959,1.745183,0.481752,-1.545812
parameter,-0.614339,0.763546,1.506993,-0.848902,0.404682,2.15298,1.289471,-2.748911
euclidean,-1.000243,1.201614,1.548033,-1.96941,-1.186305,1.93753,0.84632,-1.499287
symmetric,-1.178322,0.728639,1.936212,-1.61266,-0.415198,1.688224,0.928419,-1.496434
metric,-0.219881,-0.007496,1.188767,-0.89718,0.002333,1.755491,1.229087,-1.661145
test,0.734125,0.807226,0.434713,0.913438,1.088688,0.881682,0.787744,-1.71228
bundle,-1.058307,0.487191,0.984368,-0.514554,-0.723289,0.658079,1.193516,-1.940219
center,1.215042,0.208999,-1.58003,0.475727,0.834908,-0.029282,1.036919,-0.700979
symbol,-1.274323,0.758134,-0.218202,-1.459573,0.866404,0.264498,0.279945,-1.11149
projective,-1.130456,0.82195,2.001233,-1.963671,-1.265752,1.805309,0.661281,-1.313311
sphere,-0.771694,0.714061,0.414287,-1.536832,0.287085,0.718043,0.149514,-1.314832
interval,-0.65149,1.210098,1.57691,-0.602061,0.396388,0.951262,1.349255,-1.390526
single,-1.026487,1.884244,-0.64888,1.463388,0.620083,-0.336146,1.363369,-1.055673
geometric,-0.979885,1.129153,0.122796,-2.468298,-0.931945,1.032516,0.394733,-1.978928
ideal,-0.506398,0.879617,0.185546,-1.133379,0.764317,0.485763,-0.603898,-1.541654
dual,-0.070201,0.044218,0.297443,-0.081879,0.325438,0.573558,1.539238,-1.397066
module,-0.644206,-0.183741,0.61469,-0.1009,-0.028322,1.171674,1.560378,-2.381404
invariant,-0.821557,0.921541,1.900883,-1.744573,-0.815371,2.638583,0.339653,-1.207096
$\mathbb{Q}$,-1.163399,0.406525,0.441647,0.596244,-0.252538,0.89275,1.12842,-0.676428
index,0.158391,0.154276,-0.330208,-0.764819,0.563381,1.781785,0.947896,-1.429901
information,0.70459,0.067838,-0.908198,0.090392,1.736434,1.164283,0.031505,-2.153885
transformation,-0.392725,0.664634,0.086959,-1.003316,0.297721,1.567595,-0.254127,-1.795944
extension,0.896444,0.191812,-0.203325,-0.625035,0.656366,0.348384,1.334544,-1.201511
direct,-0.820149,0.928234,-0.986591,1.315672,0.410249,0.243913,-0.684541,-0.655355
uniform,0.070015,0.92758,0.521893,-0.391008,0.412213,0.057148,0.714687,-1.125857
path,0.01374,1.155566,0.21839,-0.648855,0.66832,-0.252471,0.539648,-1.253514
negative,-0.566763,1.324942,1.085596,0.036833,1.124504,1.101959,-0.329652,-2.351904
image,-0.889933,1.315774,-0.87127,-0.546297,0.162165,0.312459,0.363674,-1.888771
member,0.875967,0.466979,-1.665223,1.032577,1.767093,0.312416,-0.676075,0.384861
inverse,-0.889468,0.748343,1.733756,-1.139642,-0.241536,2.423813,0.784878,-1.681281
step,-0.094021,1.386719,0.374144,0.54188,0.769517,0.111638,0.054329,-1.219895
independent,0.706707,0.233323,-1.05998,0.494467,1.694931,0.486366,-0.235231,-0.757924
arithmetic,-0.903988,0.155362,1.088424,-1.301341,-0.330908,2.397223,0.167929,-1.70996
position,0.471002,0.994482,0.032283,0.488206,1.882152,0.31435,0.132578,-0.368091
calculus,-0.216939,-0.16699,0.450121,-1.263275,-0.894619,2.550812,-0.222362,-1.576884
rational,-0.808728,0.485586,0.964886,-0.951989,0.434402,2.14394,-1.107424,-2.04069
law,1.224626,0.462112,-0.763542,0.33845,2.148921,1.456956,-1.293621,-0.131808
tree,0.041128,1.980134,-0.46733,-1.067378,0.097879,-1.215083,0.388578,-0.938837
component,0.393054,0.600421,0.246851,-0.841443,0.962988,0.713405,1.663964,-2.881134
lattice,-0.281623,0.969774,1.247835,-1.768904,-1.133877,1.16403,1.176031,-1.495419
inequality,0.153486,-0.508404,1.371658,-0.915106,0.267821,2.191893,-0.970589,-1.477003
volume,-0.399543,1.467239,-1.078043,-0.720584,-0.113168,1.619856,0.967208,-0.290074
section,0.82649,1.025785,-0.556669,-0.527707,1.2164,0.256893,1.38055,-0.472389
add,-0.022997,1.536789,-0.188987,0.366073,0.819303,-0.11974,0.778937,-1.25707
$\mathrm{e}$,-1.292002,0.260132,-1.154788,0.01281,0.427253,0.441033,1.182197,0.25262
fundamental,-0.235854,0.373451,0.018339,-1.107003,0.933324,2.186866,-0.639394,-2.179348
game,-0.764295,1.123871,-0.912221,2.54657,1.208492,-0.488712,1.542391,-0.915338
polytope,-0.271581,0.378428,1.284808,-1.716055,-2.605957,1.374843,1.307706,-0.30357
smooth,-0.503264,2.14326,0.851998,-0.900889,-0.934534,-0.59683,0.951082,-1.736888
partial,0.241087,1.032025,0.363951,-0.571039,0.290313,0.97339,0.515006,-1.090874
extend,0.622251,1.293958,-0.15856,-0.582479,1.188562,-0.2522,1.139977,-0.603673
multiplication,-1.300285,0.654726,2.008179,-1.212387,-0.049214,2.094056,0.815,-1.481187
boundary,1.549732,0.891157,-0.048583,-1.579948,0.756267,0.033842,0.700734,-0.603092
local,1.345102,0.887881,-0.926586,-0.217244,2.041639,-0.540382,-0.090791,-0.495718
node,-0.403539,0.263282,1.548275,-0.931475,0.465752,0.554505,1.299138,-2.026801
develop,0.51011,0.833715,-0.929535,-0.16879,0.880761,0.214642,0.152192,-2.050016
difference,-0.42333,1.295424,0.464061,-0.62377,1.323095,1.021488,0.119698,-2.057311
statement,-0.185121,0.520611,0.498237,0.734121,1.893165,1.490124,-1.43096,-1.373875
tensor,-1.082103,0.720676,2.052231,-1.850343,-0.815243,2.306635,0.554385,-1.376971
discrete,-0.781685,0.291102,0.923274,-1.309931,-0.37011,2.058035,1.02619,-2.301871
variety,-0.202788,1.176216,-1.216464,-0.673584,0.531395,-0.573849,0.222367,-2.143463
generalize,-0.526688,0.613483,1.605129,-1.249292,-0.769467,2.361514,-0.020144,-1.631158
sample,-0.517735,1.450772,0.353552,0.155238,-0.179695,0.536479,0.735015,-1.990033
statistic,0.470426,-0.821288,-0.846591,0.728205,1.272499,1.164877,1.02551,-0.473966
axis,-0.650213,1.068551,1.208954,-1.341464,0.791018,-0.050615,1.363166,-0.752044
hyperbolic,-0.907052,0.677802,1.460048,-1.88213,-1.710374,1.618799,0.681393,-1.258368
rotation,-0.496912,0.940949,1.3973,-0.166018,-0.009339,0.674919,1.492396,-1.34382
Hilbert,-0.35418,0.528899,1.245659,-1.184913,-1.085229,2.54326,-0.359863,-0.690549
digit,-0.91538,0.491212,1.582052,-0.188573,0.694933,1.043251,1.805418,-1.003923
intersection,1.546323,0.644812,0.412243,-0.87027,-0.327555,0.626869,2.192821,0.30735
addition,0.553264,1.055657,-0.725178,-0.034769,1.165709,0.130651,0.47967,-1.294283
expression,-1.188375,1.228525,0.387673,-0.950405,0.894724,1.269918,-0.567543,-2.283941
Student,0.983328,-0.00867,-1.234457,0.564924,1.793682,0.700266,-0.271916,-0.544212
approximation,-0.580651,0.601912,1.638569,-1.179354,-0.419089,2.123159,0.388823,-1.797417
$\mathbb{Z}$,-1.629871,0.592991,-0.079823,0.541416,-0.264776,1.015409,1.260098,-0.223287
mathematics,0.627212,-1.552874,-1.634649,-0.949119,-0.889771,2.295769,-0.236907,-0.574595
code,-0.05042,-0.065831,0.070093,-0.060183,1.224724,1.0179,1.222173,-1.440354
rank,0.284987,0.352993,-0.507991,0.922227,1.743706,0.584469,0.706409,0.092109
characteristic,-0.23544,1.712869,0.121932,-1.927059,0.650074,0.298147,0.359616,-2.257326
binary,-1.353757,0.116571,0.76666,-0.86128,-0.048396,1.465641,1.166692,-1.950481
closed,0.33909,0.774897,0.876982,-0.849059,0.545486,0.090974,1.117934,-1.164075
tangent,-0.851774,0.919324,1.648849,-1.587813,-1.181343,0.903185,1.039093,-0.856635
diagram,-0.499474,0.75003,0.575572,-1.098527,-0.696987,1.234869,1.021113,-1.643292
divide,0.307026,1.215028,-0.132488,-1.319577,1.617384,-0.041208,0.742805,-0.217753
functional,0.277982,0.522359,0.315691,-1.300261,0.227638,1.411071,0.559811,-2.675761
abelian,-1.043467,0.4173,1.997384,-1.619806,-0.809074,1.843481,0.482828,-1.144109
odd,-0.891207,1.176313,0.722328,0.470201,0.140972,0.237656,0.01035,-0.615534
action,-0.105298,1.094406,0.141187,0.704805,1.885279,0.417687,-0.522567,-1.210091
tiling,-1.25793,0.508965,1.467639,-2.236602,-2.328797,0.246008,1.185006,-0.687666
ratio,-0.031268,0.597953,1.576972,-0.605548,0.867284,1.186963,2.008693,-1.502334
program,0.860949,-0.402072,-1.63227,1.223323,1.495135,0.556839,0.308371,-2.272917
quadratic,-0.976336,0.558874,2.277614,-1.381542,-0.666539,2.627446,0.403603,-1.408281
cube,-1.277535,0.62692,0.548816,-0.152608,-1.037712,-0.075707,1.086278,-1.226805
cycle,-0.096151,1.035119,-0.127653,-0.507399,0.451068,0.591579,0.941816,-1.386174
figure,-0.871272,1.477074,-0.668349,-0.159941,0.995156,0.011966,-0.307698,-0.427551
argument,-0.430215,1.133649,0.949407,0.068556,1.013837,1.520161,-1.759825,-1.32391
Riemann,-0.796628,0.760488,1.55778,-1.764925,-1.366261,2.575972,-0.094532,-0.94168
Euler,-0.717993,0.717066,1.51209,-1.557712,-1.009589,2.282097,-0.066264,-0.593131
calculate,-0.164012,0.778492,1.471261,-0.343639,0.77752,1.640692,1.050427,-1.764509
shape,-0.477605,2.537567,-0.062086,-1.541079,-0.007143,-1.076995,1.03212,-1.827116
formal,0.256091,0.511402,-0.258982,-0.87341,1.629045,1.015542,-0.720227,-1.318005
derive,-0.462946,1.302992,-0.185491,-1.738111,0.660007,0.292929,0.255589,-1.24465
statistical,1.378311,-0.402087,-0.488902,-0.664369,0.119168,1.785152,0.607279,-1.350412
network,0.524465,-0.390503,-1.285125,0.654049,1.25613,0.201169,0.89096,-2.448137
estimate,1.028601,0.591136,0.527265,-0.48893,1.97597,0.714908,1.304093,-0.63455
norm,-0.101813,0.252479,0.563682,0.284248,0.402858,1.575636,-0.800416,-1.309919
polygon,-1.084473,0.639505,1.234586,-0.908888,-1.279976,0.615889,0.812731,-0.956978
permutation,-1.224716,0.556304,2.089663,-1.041946,-0.690121,1.700241,0.885312,-1.084366
